Gender Quotas? Oh shit	6	0,1,0,1	1
Haram Memes for Non-Hijab-Wearing Teens	6	1,1,0,0	1
Hot Gay Time Machine	6	1,1,0,0	1
Low crime doesn't mean no crime	6	1,1,0,0	1
Opposites Attract	6	1,1,0,0	1
Auckland A	5	0,1,1,0	1
Katherines' Angels	5	0,1,1,0	1
Need to get a life	5	1,0,1,0	1
We Have 99 Accents and RP isn't one of them	5	1,0,0,1	1
We can make Chennai jokes	5	0,0,1,1	1
Women of Cambridge A's Past	5	1,1,0,0	1
[Name redacted by Shitposting Admins]	5	0,1,0,1	1
you vs the fresher they told you not to worry about	5	0,1,0,1	1
?? Cans In OG	4	0,1,1,0	1
Darth Vader 4 EUDC Convenor	4	1,0,1,0	1
ESL Open	4	1,1,0,0	1
EUDC's briefest semi-finalists	4	1,0,0,1	1
Maastricht A	4	0,1,0,1	1
No need to give high speaks, we're still undergraduates	4	1,1,0,0	1
Old-fashioned Call Out	4	1,0,0,1	1
Oxford Asian Persuasion	4	1,1,0,0	1
Peaked at reg downhill from there	4	0,1,0,1	1
Richard's idea of a valentines date	4	0,1,0,1	1
SSDC NAMDA Emigres A	4	1,0,0,1	1
Third Time Lucky	4	1,0,0,1	1
Балтия наша	4	1,1,0,0	1
Beautiful Heterosexual Couple	3	1,0,0,1	1
Deam Team and the Appreciation of Memes Society	3	1,0,1,0	1
Denver WB	3	0,0,1,1	1
LSE A(gain)	3	0,0,1,1	1
More or less Raluca Vacaru	3	1,0,1,0	1
Oodles of noodles	3	0,0,1,1	1
Oxford DS	3	0,1,0,0	1
Oxford LS	3	1,1,0,0	1
Policy Exchange A	3	1,0,0,1	1
Stahlhof	3	0,0,1,1	1
The Adventures of Tim Tim	3	1,0,0,1	1
This is our last tournament	3	0,1,0,1	1
Trickle out economy	3	0,1,0,1	1
Two Sweet African Boys	3	0,1,1,0	1
Öresund A	3	1,0,0,1	1
Denver NO	2	1,0,1,0	1
Jonny Heywood Fan Club A	2	1,1,0,0	1
Judy's leg	2	1,0,1,0	1
Last Night I Dreamt of San Pedro	2	1,1,0,0	1
Lumina A	2	1,0,1,0	1
QM Team FC	2	0,1,1,0	1
QM Team TM	2	1,0,1,0	1
Swing C	2	0,0,1,1	1
The Team From OG	2	0,0,1,1	1
UWU A	2	1,0,1,0	1
UtrechtJE	2	0,1,1,0	1
We're here for your jobs	2	1,1,0,0	1
What would Kallina do	2	1,0,1,0	1
White Noise	2	0,0,1,1	1
2 long boiiizz	1	0,0,2,0	1
FinnCzech Intellectuals	1	1,0,0,1	1
QM Team AS	1	0,0,1,1	1
Sophistry	1	0,1,0,1	1
Swing B	1	0,1,0,0	0
The Sunken Place	1	0,1,1,0	1
The Team From CG	1	0,1,1,0	1
The Team From CO	1	1,0,0,1	1
Warwick RL	1	0,1,1,0	1
Covfefe	0	0,1,0,1	1
Hagelslag	0	0,0,1,1	1
IGNORE ME	0	0,0,0,0	0
Legendary Lads	0	0,0,0,0	0
MDX A	0	0,0,0,0	0
Middlesex B	0	0,0,1,1	1
The Only Way is Essex	0	0,0,1,1	1
The Team From OO	0	0,0,1,1	1
